productName,productPrice,productUnit,productPromotion,productPromotionDuration,productPromotionGroup,url,error
Porkee Frozen Pork - Spare Rib,$6.11,500g,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/11212287_XL1_20231218.jpg?w=400&q=70,False
Seawaves Premium Frozen Cuttlefish Ball,$9.25,650g,Save $3.50,2 days 5 hours,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13217469_XL1_20230329.jpg?w=400&q=70,False
Seafood Boy - Jumbo Frozen Peeled Tiger Prawn Meat,$15.50,500 G,Buy 2 for 20% Off,Till 30th Jun 2025,,https://www.fairprice.com.sg/product/seafood-boy---jumbo-frozen-peeled-tiger-prawn-meat,False
Sadia Skinless Chicken Breast,$8.31,1kg,,,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13104103_XL1_20250131.jpg?w=400&q=70,False
Seara Boneless Chicken Leg (240-260g per piece),$11.40,2 KG,,1h,,https://www.fairprice.com.sg/product/seara-boneless-chicken-leg-240-260g-per-piece-2-kg-90187606,False
Pokka Green Tea,$12.40,24 x 250ml,Offer $12.40 $14.40 Save $2.00Till1st Jan2026,Till 1st Jan 2026,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/10125966_XL1_20250203.jpg?w=400&q=70,False
Sanitarium So Good Almond Milk - Unsweetened,$4.55,1L,,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13173317_XL1_20250402.jpg?w=400&q=70,False
Top Detergent Powder - Blooming Freshness,$6.15,2.1kg,,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212625_XL1_20220308.jpg?w=400&q=70,False
Three Legs Cooling Bottle Water,$4.25,6 x 200ml,Offer $4.25 $4.44 Save $0.19Till1st Jul2025,Till 1st Jul 2025,,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/12635070_XL1.jpg?w=400&q=70,False
Vegeponics Pesticide-Free Crystal Lettuce (SG Local),$2.33,120 G,Any3 for10% OFF,Till30th Jun2025,"Vegeponics Pesticide-Free Crystal Lettuce (SG Local), Vegeponics Premium Cherry Tomato, Vegeponics Australia Pumpkin",https://www.fairprice.com.sg/product/vegeponics-pesticide-free-lettuce-120-g-90065990,False
